path	status	holla_mode	main_mode	holla_blob	main_blob	partition	kind	added	removed	review_status
apps/jackin-preview/src/domain/fixtures/pinned.rs	A	000000	100644	0000000000000000000000000000000000000000	72a0433b06cc5fca958f9dbc409ac38c7023786e	jackin	text	1296	0	unread
apps/jackin-preview/src/domain/instance.rs	A	000000	100644	0000000000000000000000000000000000000000	285541449f325a8676744214f62c995781afc35c	jackin	text	377	0	unread
apps/jackin-preview/src/domain/mod.rs	A	000000	100644	0000000000000000000000000000000000000000	4b31149c356f8e6b5b3e1323126df516ca78cb4c	jackin	text	20	0	unread
apps/jackin-preview/src/domain/onepassword.rs	A	000000	100644	0000000000000000000000000000000000000000	5602d7cd1498e0e6f55dfc45779cc697b94857d2	jackin	text	45	0	unread
apps/jackin-preview/src/domain/usage.rs	A	000000	100644	0000000000000000000000000000000000000000	041f8af8155e4f496bc0344f6a45563cc05aabaa	jackin	text	708	0	unread
apps/jackin-preview/src/domain/workspace.rs	A	000000	100644	0000000000000000000000000000000000000000	53cab120bb32102674692be83c0ca062ca72bc27	jackin	text	762	0	unread
apps/jackin-preview/src/domain/workspace_save.rs	A	000000	100644	0000000000000000000000000000000000000000	289164c307aa18b613b05d79a559ecbd18a68395	jackin	text	96	0	unread
apps/jackin-preview/src/lib.rs	A	000000	100644	0000000000000000000000000000000000000000	3748d46e8f1e6452f8e6fb37a167f088c1d2bb62	jackin	text	58	0	unread
apps/jackin-preview/src/main.rs	A	000000	100644	0000000000000000000000000000000000000000	a28358006404782d427c3d62154c3b41608a5795	jackin	text	23	0	unread
apps/jackin-preview/src/rain.rs	A	000000	100644	0000000000000000000000000000000000000000	8209b65699c417332089bd123491fb9a001b3e87	jackin	text	577	0	unread
apps/jackin-preview/src/scenario.rs	A	000000	100644	0000000000000000000000000000000000000000	b2b73d65c74ed8ed70db346f226e0fc19430bd8b	jackin	text	106	0	unread
apps/jackin-preview/src/screens/accounts.rs	A	000000	100644	0000000000000000000000000000000000000000	48a6d123b3e78f49ff95e585d1ead096230ecdab	jackin	text	128	0	unread
apps/jackin-preview/src/screens/capsule.rs	A	000000	100644	0000000000000000000000000000000000000000	0edfba7f3a3fe1ed811c4284e5c753023ec18587	jackin	text	378	0	unread
apps/jackin-preview/src/screens/cockpit.rs	A	000000	100644	0000000000000000000000000000000000000000	42da9ea42379d780921b6d80d94b8add09060ac0	jackin	text	225	0	unread
apps/jackin-preview/src/screens/editor.rs	A	000000	100644	0000000000000000000000000000000000000000	40089d85b36a0032fad28c99dee0136a54f862f4	jackin	text	790	0	unread
apps/jackin-preview/src/screens/file_browser.rs	A	000000	100644	0000000000000000000000000000000000000000	fc58165ed5a3e8de5db24fa2e5f37421f63ac057	jackin	text	215	0	unread
apps/jackin-preview/src/screens/inspect.rs	A	000000	100644	0000000000000000000000000000000000000000	264fe2c7b61ff0c7120ef8111f5174fe22a02c6a	jackin	text	16	0	unread
apps/jackin-preview/src/screens/manager.rs	A	000000	100644	0000000000000000000000000000000000000000	894b9a6148d0966cb6667c65cc14be21a0e5d1b7	jackin	text	250	0	unread
apps/jackin-preview/src/screens/manager_actions.rs	A	000000	100644	0000000000000000000000000000000000000000	b43d75c678f9575fb60f0bc04752c221a0f78ea1	jackin	text	908	0	unread
apps/jackin-preview/src/screens/mod.rs	A	000000	100644	0000000000000000000000000000000000000000	9446e5ca88d9955e3f7fd878ab74f8de92427c08	jackin	text	21	0	unread
apps/jackin-preview/src/screens/op_flow.rs	A	000000	100644	0000000000000000000000000000000000000000	4419195bd9e53eea4bf2f73d6ae93b0b40ae75d4	jackin	text	365	0	unread
apps/jackin-preview/src/screens/prelude.rs	A	000000	100644	0000000000000000000000000000000000000000	1f98a58af78163e6c71671531901f383592bfe77	jackin	text	117	0	unread
apps/jackin-preview/src/screens/settings.rs	A	000000	100644	0000000000000000000000000000000000000000	62467cbe263ba09e67b113cdaa2dc9fe3a507765	jackin	text	91	0	unread
apps/jackin-preview/src/screens/usage.rs	A	000000	100644	0000000000000000000000000000000000000000	6f5e67149b65a64e21b4f205eef2c76bcb7736f3	jackin	text	143	0	unread
apps/jackin-preview/src/sim/changes.rs	A	000000	100644	0000000000000000000000000000000000000000	4dab4764a0228e8667a8090ee3266beaa4458beb	jackin	text	496	0	unread
apps/jackin-preview/src/sim/launch.rs	A	000000	100644	0000000000000000000000000000000000000000	b7c526c89ee78c292fef691360da3fda4c8e649e	jackin	text	527	0	unread
apps/jackin-preview/src/sim/mod.rs	A	000000	100644	0000000000000000000000000000000000000000	71c18df189a2ea5ec89909d80b721773548a79ee	jackin	text	15	0	unread
apps/jackin-preview/src/sim/onepassword.rs	A	000000	100644	0000000000000000000000000000000000000000	24567b1447f46e3f46ab06f11a5b2684bb4cddfe	jackin	text	847	0	unread
apps/jackin-preview/src/sim/provider.rs	A	000000	100644	0000000000000000000000000000000000000000	f2dcf082e1e4645fbfc8428f886361cff1b164b9	jackin	text	558	0	unread
apps/jackin-preview/src/sim/pty.rs	A	000000	100644	0000000000000000000000000000000000000000	a05f4baa256e755b716158f274af033435bb37cf	jackin	text	2099	0	unread
apps/jackin-preview/src/sim/world.rs	A	000000	100644	0000000000000000000000000000000000000000	7630c2a58a3564cfa9d6da0f0444b3f0f4b86668	jackin	text	624	0	unread
apps/jackin-preview/tests/app_tests.rs	A	000000	100644	0000000000000000000000000000000000000000	ceb0a813327d35a50673d61c0ad3e79f151cf083	jackin	text	1327	0	unread
apps/jackin-preview/tests/app_tests_chrome.rs	A	000000	100644	0000000000000000000000000000000000000000	fa6b47e96b0c89a74921a79c771fed426b96e9c9	jackin	text	207	0	unread
apps/jackin-preview/tests/baselines/jackin.txt	A	000000	100644	0000000000000000000000000000000000000000	40266f11c5a228cc2ee3fe3d5dcf057fead838db	jackin	text	65	0	unread
apps/jackin-preview/tests/cli_contract.rs	A	000000	100644	0000000000000000000000000000000000000000	8c86b08cf29c2400fe3d35f705cd86086f2a1f58	jackin	text	134	0	unread
apps/jackin-preview/tests/editor_save_journey.rs	A	000000	100644	0000000000000000000000000000000000000000	536fd77a955bd61ace6894c0c725db010061df06	jackin	text	90	0	unread
apps/jackin-preview/tests/editor_save_ownership.rs	A	000000	100644	0000000000000000000000000000000000000000	db4b5e6911e3d6605872aac6a75fc0fb65fbe21d	jackin	text	243	0	unread
apps/jackin-preview/tests/manager_actions.rs	A	000000	100644	0000000000000000000000000000000000000000	dbe484fbd1150ad6049f3a01f7ece866d546b1a6	jackin	text	674	0	unread
apps/jackin-preview/tests/manager_identity.rs	A	000000	100644	0000000000000000000000000000000000000000	9ccdd2c1b8aac5bfa2aa78c547413e4b63b15456	jackin	text	279	0	unread
apps/jackin-preview/tests/manager_repository.rs	A	000000	100644	0000000000000000000000000000000000000000	3083fbd533a9e416806aac6a3b02dc27c2fc711b	jackin	text	137	0	unread
apps/jackin-preview/tests/perf.rs	A	000000	100644	0000000000000000000000000000000000000000	54f787cfc52c252649efa1ebaa9d36abef0fe16e	jackin	text	181	0	unread
apps/jackin-preview/tests/perf_baseline.txt	A	000000	100644	0000000000000000000000000000000000000000	d9c95ed81a2fe3a138e94c3b78b919cdfc3b6d30	jackin	text	5	0	unread
apps/jackin-preview/tests/preview.rs	A	000000	100644	0000000000000000000000000000000000000000	2ac1198cc1999a22d483b72ddbcbd25f275d4e5d	jackin	text	269	0	unread
apps/jackin-preview/tests/support.rs	A	000000	100644	0000000000000000000000000000000000000000	c574e9832bc539281afa4444c465c6369a0a9a93	jackin	text	136	0	unread
apps/jackin-preview/tests/timing.rs	A	000000	100644	0000000000000000000000000000000000000000	d6532c41a1357af99ae2295d71dfff82a868f1f3	jackin	text	164	0	unread
